"study","ecosystem","top_bottom_both","phyto_func_response","func_group_type","zoo","fish","microbes","location","study_type","experimental_design","manipulation","coordinates","spatial extent_km","temporal duration","trophic state","importance_td_vs_bu","zoop_func_response","notes","include","reviewer","year"
"Lofton et al 2020","freshwater",3,1,"taxonomic",1,0,0,"Southern Quebec, Canada","field","none","no manipulation, but effects were related to laze size, trophic state, light availability","NA","51 study lakes","July 2004 and July 2005","various",NA,0,"We examined depth profiles of four phytoplankton spectral groups and a suite of top-down (zooplankton) and bottom-up (nutrients, temperature, and light) drivers from 51 north temperate lakes varying on gradients of size, trophic state, light availability, and thermal stratification.","yes","Anika",2020
"Lofton et al 2020","freshwater",3,1,"taxonomic",1,0,0,"51 lakes","field","in situ","NA","NA","NA","NA","NA",NA,0,"Phytoplankton spectral profiles used to group taxonomically","y","Britt",2020
"Lynam et al 2017","marine",3,1,"taxonomic",1,1,0,"North Sea","model","none","none","NA","model for whole North Sea","NA","NA",NA,1,"Plankton abundance was extracted from theContinuous Plankton Recorder database and functional groups were created based on prior knowledge (35, 36). Phytoplankton Groups: Dinoflagellates, Diatoms.","yes","Anika",2017
"Lynam et al 2017","marine",3,1,"taxonomic",1,1,0,"North Sea Time series","model","in silico","Fish mortality and climatic variables","NA","NA","40 years","NA",NA,0,"Very vague because of modelling study etc. but does include 6 plankton groups","y","Britt",2017
"Ma et al 2021","freshwater",3,1,"physiological",1,0,0,"Lake Hulun, China","field","in situ",NA,"48°310 49°200 N, 116°580 117°480 E","2339.0","6 months","eutrophic","bu",1,"used reynolds as classification","y","Ewaldo",2021
"Ma et al 2021","freshwater",3,1,"taxonomic, morphological, physiological",1,0,0,"Lake Hulun","field","in situ","NA","48°31'49°2''N, 116°58'117°48'E","10 sites","NA","eutrophic","bu",1,NA,"yes","Isabelle",2021
"Ma et al 2021","freshwater",3,1,"physiological",1,0,0,"Lake Hulun, China","field","none","no manipulation, but effects were related to water temperature (WT), total phosphorus
(TP), total nitrogen (TN), conductivity (Cond), water transparency (SD), and dissolved oxygen (DO)","48°31'-49°20'N, 116°58'-117°48'E","NA","May 2019 to October 2019","NA",NA,1,"Approximately 43 phytoplankton species were observed and grouped into 23 functional groups. For the zooplankton, about 27 species were observed and classified into 8 functional groups. The study revealed that the bottom-up effects of physical-chemical variables on some phytoplankton functional groups was stronger than the top-down effects of zooplankton. Phytoplankton species were classified into functional groups (FGs) according to (Padisák et al., 2009) and (Reynolds et al., 2002). The zooplankton species were classified into functional groups based on their body size/ length and mode of feeding (Benedetti et al., 2015; Benedetti et al., 2018; Ma et al., 2019b; Mwagona et al., 2018).","yes","Anika",2021
"Ma et al 2021","freshwater",3,1,"taxonomic, physiological",1,0,0,"Lake Hulun, China.","field","in situ","NA","48°310 49°200N, 116°580 117°480E","Various sample sites","May-October","Eutrophic",NA,1,"Phytoplankton and zooplankton focused","y","Britt",2021
"Mandal et al 2018","freshwater",3,1,"morphological, physiological",1,0,0,"NA","lab","experiment","phytoplankton species (as food), feeding experiment","NA","NA","24h","NA",NA,0,"Phytoplankton was centrifuged and fed to Daphnia - not sure if that counts here. Traits: Fatty acid contents, growth rate, capacity, cell volume, C:N, C:P, minimum P and N requirements, grazing, Daphnia growth under respective strain, conversion efficiency","yes","Anika",2018
"Mandal et al 2018","freshwater",3,1,"taxonomic, morphological, physiological",1,0,0,"University of Calfornia San Diego","lab","experiment","grazing experiments","NA","NA","~1 week??","NA?","td",0,"Focus on various functional traits of phytoplankton","y","Britt",2018
